rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn
1,1,1,1,3,51.4523,0.000131419,0.958285,98.5647,1550090296,3192924080,1014457,2089610,1.01428,1.01428,120.999,120.999,133.319,972139,ns3::ThompsonSamplingWifiManager,8,0
1,2,1,1,3,84.8795,0.000197282,0.971383,97.6961,1536344408,10160701872,1005461,6649674,1.02204,1.02204,121,121,198.359,976688,ns3::ThompsonSamplingWifiManager,8,0
1,3,1,1,3,0.392952,1.10341e-05,0.0184525,643.499,10120775232,10160701872,6623544,6649674,1.00692,1.00692,121,121,73.0851,122221,ns3::ThompsonSamplingWifiManager,8,0
1,4,1,1,3,31.8073,2.1327e-05,0.176238,673.817,10597353848,15540300912,6935441,10170354,1.00989,1.00989,121,121,147.912,1.22229e+06,ns3::ThompsonSamplingWifiManager,8,0
2,1,1,1,3,48.5877,0.000212668,1.44311,55.0185,865248336,1682959064,566262,1101413,1.01452,1.01452,120.998,120.998,120.426,817176,ns3::ThompsonSamplingWifiManager,1,0
2,2,1,1,3,48.4976,0.000212158,1.43915,55.1117,866764112,1682959064,567254,1101413,1.0093,1.0093,121,121,120.347,816366,ns3::ThompsonSamplingWifiManager,1,0
2,3,1,1,3,0.435622,1.18539e-05,0.0572193,106.543,1675627720,1682959064,1096615,1101413,1.01101,1.01101,121,121,12.9991,62747.6,ns3::ThompsonSamplingWifiManager,1,0
2,4,1,1,3,4.3407,2.07248e-05,0.133331,102.359,1609906912,1682959064,1053604,1101413,1.00502,1.00502,121,121,21.8357,140478,ns3::ThompsonSamplingWifiManager,1,0
2,1,1,1,3,48.6221,0.000118396,0.916628,104.31,1640457744,3192924080,1073598,2089610,1.01345,1.01345,120.999,120.999,127.109,984090,ns3::ThompsonSamplingWifiManager,2,0
2,2,1,1,3,48.7076,0.000118717,0.917334,104.132,1637728736,3192924080,1071812,2089610,1.00907,1.00907,121,121,127.243,983209,ns3::ThompsonSamplingWifiManager,2,0
2,3,1,1,3,0.458842,1.16063e-05,0.0341314,202.088,3178273616,3192924080,2080022,2089610,1.01095,1.01095,121,121,24.1414,70994,ns3::ThompsonSamplingWifiManager,2,0
2,4,1,1,3,7.65009,2.03302e-05,0.480834,187.479,2948662584,3192924080,1929753,2089610,1.00493,1.00493,121,121,39.2323,927891,ns3::ThompsonSamplingWifiManager,2,0
2,1,1,1,3,49.398,0.000219365,1.45147,54.1576,851610936,1682959064,557337,1101413,1.01716,1.01716,120.987,120.987,122.26,808961,ns3::ThompsonSamplingWifiManager,3,0
2,2,1,1,3,73.4029,0.000309879,1.4956,53.9964,849224200,3192924080,555775,2089610,1.0093,1.0093,121,121,172.223,831214,ns3::ThompsonSamplingWifiManager,3,0
2,3,1,1,3,0.469322,1.16181e-05,0.0343674,202.066,3177938984,3192924080,2079803,2089610,1.01095,1.01095,121,121,24.1633,71477.5,ns3::ThompsonSamplingWifiManager,3,0
2,4,1,1,3,15.0424,2.16421e-05,0.323063,324.547,5104473472,6008257968,3340624,3932106,1.0049,1.0049,121,121,72.2982,1.07923e+06,ns3::ThompsonSamplingWifiManager,3,0
2,1,1,1,3,49.3203,0.000218691,1.45044,54.2345,852918904,1682959064,558193,1101413,1.01567,1.01567,120.999,120.999,122.071,809627,ns3::ThompsonSamplingWifiManager,4,0
2,2,1,1,3,85.8294,0.000359624,1.49788,54.1352,851407712,6008257968,557204,3932106,1.0093,1.0093,121,121,200.383,834625,ns3::ThompsonSamplingWifiManager,4,0
2,3,1,1,3,0.467205,1.14646e-05,0.022874,380.245,5980187080,6008257968,3913735,3932106,1.01092,1.01092,121,121,44.8693,89522.7,ns3::ThompsonSamplingWifiManager,4,0
2,4,1,1,3,15.0273,2.16629e-05,0.322987,324.605,5105381104,6008257968,3341218,3932106,1.0049,1.0049,121,121,72.3806,1.07917e+06,ns3::ThompsonSamplingWifiManager,4,0
2,1,1,1,3,50.3994,0.000227888,1.45924,53.0784,834758624,1682959064,546308,1101413,1.01331,1.01331,121,121,124.497,797196,ns3::ThompsonSamplingWifiManager,5,0
2,2,1,1,3,86.3042,0.000374231,1.53408,52.3245,822881480,6008257968,538535,3932106,1.01511,1.01511,120.999,120.999,201.536,826157,ns3::ThompsonSamplingWifiManager,5,0
2,3,1,1,3,0.44424,1.145e-05,0.0225279,380.332,5981566864,6008257968,3914638,3932106,1.01093,1.01093,121,121,44.8224,88188.4,ns3::ThompsonSamplingWifiManager,5,0
2,4,1,1,3,23.7471,2.1721e-05,0.23648,492.614,7747830960,10160701872,5070570,6649674,1.00491,1.00491,121,121,110.138,1.19909e+06,ns3::ThompsonSamplingWifiManager,5,0
2,1,1,1,3,50.2329,0.000125541,0.940131,101.041,1589025264,3192924080,1039938,2089610,1.01424,1.01424,120.998,120.998,130.555,977678,ns3::ThompsonSamplingWifiManager,6,0
2,2,1,1,3,73.9326,0.000169428,0.95526,99.586,1566195416,6008257968,1024997,3932106,1.01194,1.01194,121,121,173.663,979139,ns3::ThompsonSamplingWifiManager,6,0
2,3,1,1,3,0.468858,1.14657e-05,0.0226748,380.238,5980087760,6008257968,3913670,3932106,1.01092,1.01092,121,121,44.873,88741.8,ns3::ThompsonSamplingWifiManager,6,0
2,4,1,1,3,23.1865,2.12777e-05,0.234855,496.236,7804791744,10160701872,5107848,6649674,1.00491,1.00491,121,121,108.683,1.1996e+06,ns3::ThompsonSamplingWifiManager,6,0
2,1,1,1,3,50.4888,0.000126649,0.943482,100.524,1580856576,3192924080,1034592,2089610,1.01512,1.01512,120.996,120.996,131.03,976119,ns3::ThompsonSamplingWifiManager,7,0
2,2,1,1,3,84.4656,0.000191016,0.950962,100.36,1578401080,10160701872,1032985,6649674,1.00907,1.00907,121,121,197.317,982329,ns3::ThompsonSamplingWifiManager,7,0
2,3,1,1,3,0.405674,1.10378e-05,0.0183398,643.438,10119482544,10160701872,6622698,6649674,1.01092,1.01092,121,121,73.1001,121459,ns3::ThompsonSamplingWifiManager,7,0
2,4,1,1,3,23.1739,2.12572e-05,0.234741,496.317,7806072208,10160701872,5108686,6649674,1.00489,1.00489,121,121,108.596,1.19922e+06,ns3::ThompsonSamplingWifiManager,7,0
3,1,1,1,3,48.4825,0.000211709,1.4412,55.1299,867017760,1682959064,567420,1101413,1.01395,1.01395,121,121,120.128,817764,ns3::ThompsonSamplingWifiManager,1,0
3,2,1,1,3,48.2425,0.000209689,1.44757,55.3952,871057792,1682959064,570064,1101413,1.0297,1.0297,120.998,120.998,119.536,825206,ns3::ThompsonSamplingWifiManager,1,0
