rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,dataRate
407456,1,1,0,2,25.6767,5.47542e-05,0.927485,104.056,1636614824,2202020664,1071083,1441113,1.00286,1.00286,121,121,58.6463,993414,140
407456,1,1,0,3,25.5922,5.45104e-05,0.926362,104.174,1638474400,2202020664,1072300,1441113,1.00286,1.00286,121,121,58.4514,993338,140
407456,1,1,0,1,29.9707,6.3352e-05,0.903652,105.054,1652200424,2359299232,1081283,1544044,1.01091,1.01091,121,121,68.5014,977104,150
407457,1,1,0,1,0.00777174,3.81526e-05,0.000189143,10.0004,157275512,157287736,102929,102937,1.01267,1.01267,121,121,3.92697,19.4683,10
407456,1,1,0,2,30.636,6.53292e-05,0.908677,104.049,1636503280,2359299232,1071010,1544044,1.00286,1.00286,121,121,69.9682,973203,150
407456,1,1,0,3,30.551,6.50915e-05,0.907763,104.176,1638509544,2359299232,1072323,1544044,1.00286,1.00286,121,121,69.7991,973415,150
407457,1,1,0,1,0.00971473,2.35695e-05,0.000192957,20.0003,314543384,314573944,205853,205873,1.01267,1.01267,120.999,120.999,4.85183,39.7208,20
407457,1,1,0,2,0.000971468,7.99939e-06,0.000312893,10.0003,157286208,157287736,102936,102937,1.00279,1.00279,120.999,120.999,0.823417,32.208,10
407457,1,1,0,3,0.00388587,5.80902e-06,0.00031288,10.0004,157281624,157287736,102933,102937,1.00707,1.00707,120.999,120.999,0.597934,32.2057,10
407457,1,1,0,1,0.00971474,1.70263e-05,0.00019868,30.0003,471814312,471860152,308779,308809,1.01267,1.01267,121,121,5.25734,61.3484,30
407457,1,1,0,2,0.000971473,4.99375e-05,0.00029236,20.0004,314570888,314573944,205871,205873,1.00279,1.00279,121,121,10.2806,60.1884,20
407457,1,1,0,3,0.00485736,1.39014e-05,0.00030674,20.0003,314558664,314573944,205863,205873,1.00707,1.00707,121,121,2.86178,63.1464,20
407457,1,1,0,1,0.00995762,6.21121e-05,0.000389293,40.0003,629083712,629146360,411704,411745,1.01267,1.01267,121,121,25.5717,160.273,40
407457,1,1,0,2,0.0012953,0.000101761,0.000582457,30.0004,471854040,471860152,308805,308809,1.00279,1.00279,121,121,31.4241,179.866,30
407457,1,1,0,3,0.0051812,0.000102324,0.000578372,30.0004,471835704,471860152,308793,308809,1.00705,1.00705,121,121,31.5969,178.597,30
407457,1,1,0,1,0.0101033,0.000105044,0.000418389,50.0004,786354640,786434096,514630,514682,1.01267,1.01267,121,121,54.0587,215.315,50
407457,1,1,0,2,0.00194295,0.000170566,0.0005878,40.0004,629134136,629146360,411737,411745,1.00279,1.00279,121,121,70.228,242.019,40
407457,1,1,0,3,0.00558598,0.000172918,0.000578966,40.0003,629111216,629146360,411722,411745,1.007,1.007,121,121,71.1938,238.373,40
407457,1,1,0,1,0.0103624,0.000103422,0.000532521,60.0003,943622512,943720304,617554,617618,1.01267,1.01267,121,121,63.8688,328.861,60
407457,1,1,0,2,0.00194295,0.000159364,0.000697845,50.0003,786418816,786434096,514672,514682,1.00279,1.00279,121,121,82.0198,359.161,50
407457,1,1,0,3,0.00582884,0.000160672,0.000689806,50.0003,786388256,786434096,514652,514682,1.00707,1.00707,121,121,82.6901,355.01,50
407457,1,1,0,1,0.0105475,8.70764e-05,0.000661889,70.0001,1100887328,1101003456,720476,720552,1.01267,1.01267,121,121,62.7364,476.875,70
407457,1,1,0,2,0.00226677,0.000132385,0.000817095,60.0003,943698912,943720304,617604,617618,1.00279,1.00279,121,121,81.7616,504.641,60
407457,1,1,0,3,0.00566693,0.000132864,0.000802213,60.0003,943666824,943720304,617583,617618,1.00705,1.00705,121,121,82.0542,495.433,60
407457,1,1,0,1,0.0108076,6.545e-05,0.000887767,80.0002,1258159784,1258295776,823403,823492,1.01267,1.01267,121,121,53.8916,730.99,80
407457,1,1,0,2,0.00222052,0.000101307,0.00101006,70,1100979008,1101003456,720536,720552,1.00279,1.00279,121,121,72.995,727.784,70
407457,1,1,0,3,0.00596765,0.000102174,0.00099513,70.0001,1100937752,1101003456,720509,720552,1.00707,1.00707,121,121,73.6172,717,70
407457,1,1,0,1,0.01101,4.381e-05,0.00132334,89.9998,1415424600,1415580456,926325,926427,1.01267,1.01267,121,121,40.5822,1225.85,90
407457,1,1,0,2,0.00255012,7.23223e-05,0.00131832,80.0002,1258263688,1258295776,823471,823492,1.00279,1.00279,121,121,59.5553,1085.6,80
407457,1,1,0,3,0.00643601,7.24121e-05,0.00130089,79.9999,1258214792,1258295776,823439,823492,1.007,1.007,121,121,59.6269,1071.2,80
407457,1,1,0,1,0.0120463,2.43424e-05,0.0024813,99.9987,1572677192,1572866664,1029239,1029363,1.01267,1.01267,121,121,25.0541,2553.85,100
407457,1,1,0,2,0.00313031,4.75232e-05,0.00185789,89.9995,1415536144,1415580456,926398,926427,1.00279,1.00279,121,121,44.0254,1721.15,90
407457,1,1,0,3,0.00690826,4.75346e-05,0.0018242,89.9996,1415482664,1415580456,926363,926427,1.00703,1.00703,121,121,44.0342,1689.87,90
407457,1,1,0,1,4.51329,1.51582e-05,0.142617,105.047,1652067488,1730154400,1081196,1132300,1.01267,1.01267,121,121,16.389,154197,110
407457,1,1,0,2,0.00446878,2.49926e-05,0.00326957,99.9981,1572796376,1572866664,1029317,1029363,1.00279,1.00279,121,121,25.7253,3365.43,100
407457,1,1,0,3,0.00786894,2.52034e-05,0.00327574,99.9983,1572742896,1572866664,1029282,1029363,1.00707,1.00707,121,121,25.9413,3371.67,100
407457,1,1,0,2,5.41676,1.73694e-05,0.187882,104.044,1636436048,1730154400,1070966,1132300,1.00279,1.00279,121,121,18.602,201215,110
407457,1,1,0,1,12.4699,2.65291e-05,0.802825,105.047,1652069016,1887429912,1081197,1235229,1.01267,1.01267,121,121,28.6832,868012,120
407457,1,1,0,3,5.29895,1.70282e-05,0.178848,104.178,1638474400,1730154400,1072300,1132300,1.00698,1.00698,121,121,18.2594,191778,110
407457,1,1,0,2,13.284,2.83897e-05,0.82601,104.061,1636703448,1887429912,1071141,1235229,1.00279,1.00279,121,121,30.4094,884773,120
407457,1,1,0,1,19.2047,4.14541e-05,0.874668,105.045,1652035400,2044717648,1081175,1338166,1.01267,1.01267,121,121,44.819,945669,130
407457,1,1,0,3,13.1891,2.81595e-05,0.823133,104.179,1638494264,1887429912,1072313,1235229,1.007,1.007,121,121,30.1957,882656,120
407457,1,1,0,2,19.9501,4.31754e-05,0.901375,104.067,1636793600,2044717648,1071200,1338166,1.00279,1.00279,121,121,46.2495,965553,130
407457,1,1,0,1,24.9727,5.27708e-05,0.920214,105.05,1652116384,2202020664,1081228,1441113,1.01267,1.01267,121,121,57.0572,994962,140
