rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum
407456,2,4,1,3,16.2883,0.000686783,0.708809,27.7202,415712264,496600000,272063,325000,1.01877,1.01877,120.992,120.992,186.847,192841
407456,3,4,1,3,18.4615,0.00071147,0.668099,27,404920000,496600000,265000,325000,1.01993,1.01993,120.996,120.996,188.539,177046
407456,4,4,1,3,17.3566,0.000692788,0.711337,27.377,410407048,496600000,268591,325000,1.02037,1.02037,120.948,120.948,186.076,191059
407456,1,5,1,2,21.438,0.00091971,0.721544,20.846,312112336,397281528,204262,260001,1.12164,1.12164,120.9,120.9,187.861,147384
407456,2,5,1,2,17.3622,0.000878455,0.630458,21.892,328304552,397281528,214859,260001,1.02757,1.02757,121,121,188.743,135460
407456,3,5,1,2,18.4015,0.00089627,0.721439,21.621,324175896,397281528,212157,260001,1.05082,1.05082,121,121,190.149,153058
407456,4,5,1,2,21.7841,0.000930322,0.746093,20.7217,310737136,397281528,203362,260001,1.01877,1.01877,120.985,120.985,189.191,151727
407456,5,5,1,2,20.9838,0.000925883,0.657959,20.969,313916904,397281528,205443,260001,1.0213,1.0213,120.785,120.785,190.215,135173
407456,1,7,1,1,26.7932,0.00129592,0.562023,13.8912,207740768,283772520,135956,185715,1.31641,1.31641,120.955,120.955,176.187,76410.5
407456,2,7,1,1,27.1836,0.00131152,0.573472,13.7831,206632968,283772520,135231,185715,1.04323,1.04323,120.978,120.978,177.357,77551.2
407456,3,7,1,1,27.6364,0.0012909,0.518093,13.7004,205347920,283772520,134390,185715,1.06271,1.06271,120.97,120.97,173.482,69626.6
407456,4,7,1,1,25.2861,0.00128314,0.564577,14.1373,212017640,283772520,138755,185715,1.02006,1.02006,120.997,120.997,178.041,78337.8
407456,5,7,1,1,25.915,0.00130442,0.533065,14.0295,210232936,283772520,137587,185715,1.02725,1.02725,120.908,120.908,179.47,73342.8
407456,6,7,1,1,25.3286,0.00129395,0.560692,14.1503,211896928,283772520,138676,185715,1.01703,1.01703,120.815,120.815,179.438,77754.5
407456,7,7,1,1,25.1073,0.00128961,0.515974,14.1788,212524936,283772520,139087,185715,1.07057,1.07057,120.982,120.982,179.367,71765.3
407456,1,5,1,3,23.3307,0.000956927,0.793965,20.311,304593048,397281528,199341,260001,1.02718,1.02718,120.999,120.999,190.754,158270
