rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum
407456,1,5,1,2,0.0134615,0.000552586,0.00189862,26.4848,397228048,397281528,259966,260001,1.01318,1.01318,121,121,143.653,493.577
407456,2,5,1,2,0.0223076,0.000551112,0.00273921,26.4848,397192904,397281528,259943,260001,1.02332,1.02332,120.999,120.999,143.257,712.039
407456,3,5,1,2,0.837304,0.000556537,0.00144501,26.4871,393955072,397281528,257824,260001,2.0124,2.0124,121,121,143.488,372.558
407456,4,5,1,2,0.0188461,0.000552449,0.00190319,26.4857,397206656,397281528,259952,260001,1.02326,1.02326,120.999,120.999,143.61,494.738
407456,5,5,1,2,0.0161538,0.000551356,0.00228619,26.4847,397217352,397281528,259959,260001,1.01492,1.01492,120.999,120.999,143.329,594.314
407456,1,4,1,3,0.036,0.000282481,0.00383678,33.0999,496421224,496600000,324883,325000,1.0188,1.0188,121,121,91.7729,1246.5
407456,2,4,1,3,0.0341538,0.000281562,0.00554895,33.0991,496430392,496600000,324889,325000,1.01305,1.01305,121,121,91.476,1802.79
407456,3,4,1,3,0.0316923,0.000282171,0.00367163,33.1001,496442616,496600000,324897,325000,1.01418,1.01418,121,121,91.6761,1192.9
407456,4,4,1,3,0.0366154,0.000282701,0.00348592,33.0996,496418168,496600000,324881,325000,1.01824,1.01824,121,121,91.8439,1132.51
407456,1,7,1,1,1.36499,0.00110887,0.0527298,18.6706,279899040,283772520,183180,185715,1.04817,1.04817,120.98,120.98,203.122,9659.04
407456,2,7,1,1,1.34938,0.00110883,0.0530892,18.6696,279943352,283772520,183209,185715,1.03055,1.03055,120.987,120.987,203.147,9726.42
407456,3,7,1,1,2.17376,0.00111503,0.0536951,18.6669,277603984,283772520,181678,185715,2.02681,2.02681,120.998,120.998,202.575,9755.21
407456,4,7,1,1,1.35046,0.00110632,0.0514348,18.6695,279940296,283772520,183207,185715,1.03829,1.03829,120.995,120.995,202.684,9423.22
407456,5,7,1,1,1.3413,0.00110887,0.0526894,18.6679,279966272,283772520,183224,185715,1.01302,1.01302,120.991,120.991,203.17,9653.96
407456,6,7,1,1,1.35207,0.001107,0.0514633,18.669,279935712,283772520,183204,185715,1.02629,1.02629,120.983,120.983,202.805,9428.28
407456,7,7,1,1,1.36123,0.0011067,0.051422,18.6674,279909736,283772520,183187,185715,1.0431,1.0431,121,121,202.732,9419.84
407456,1,6,1,2,0.0147692,0.000690376,0.00154945,22.0744,331018280,331067176,216635,216667,1.03544,1.03544,121,121,149.559,335.665
407456,2,6,1,2,0.00599999,0.00068949,0.00160492,22.0724,331047312,331067176,216654,216667,1.01371,1.01371,121,121,149.38,347.711
407456,3,6,1,2,0.0106154,0.000689513,0.00160978,22.0726,331032032,331067176,216644,216667,1.01996,1.01996,120.999,120.999,149.378,348.749
407456,4,6,1,2,0.0161538,0.000690353,0.00155671,22.0749,331013696,331067176,216632,216667,1.03885,1.03885,120.999,120.999,149.552,337.234
407456,5,6,1,2,0.00415384,0.000689531,0.00160332,22.0723,331053424,331067176,216658,216667,1.01054,1.01054,120.999,120.999,149.392,347.372
407456,6,6,1,2,0.0115384,0.000690462,0.00155121,22.074,331028976,331067176,216642,216667,1.02798,1.02798,120.999,120.999,149.582,336.057
407456,1,5,1,3,0.0523075,0.000363616,0.00309404,26.4751,397073720,397281528,259865,260001,1.01587,1.01587,121,121,94.4907,804.032
407456,2,5,1,3,0.0538459,0.000364159,0.00296497,26.4757,397067608,397281528,259861,260001,1.01999,1.01999,121,121,94.6303,770.481
407456,3,5,1,3,0.0599998,0.000361109,0.0058964,26.4741,397043160,397281528,259845,260001,1.02043,1.02043,121,121,93.832,1532.15
407456,4,5,1,3,0.048846,0.000364326,0.00296684,26.4752,397087472,397281528,259874,260001,1.01184,1.01184,121,121,94.6785,771.005
407456,5,5,1,3,0.0526921,0.000363752,0.00349021,26.4744,397072192,397281528,259864,260001,1.01302,1.01302,121,121,94.5257,906.981
407456,1,8,1,1,1.36185,0.00128989,0.0537076,16.3354,244918536,248300000,160287,162500,1.04343,1.04343,120.988,120.988,206.752,8608.63
