rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario
407456,1,1,7,2,6.50755,2.63345e-05,0.255618,100.045,1573439664,1682959064,1029738,1101413,1.01021,1.01021,121,121,27.1177,263219,ns3::ThompsonSamplingWifiManager,D
407456,2,1,7,2,4.05724,6.04199e-05,0.142642,102.66,1614677328,1682959064,1056726,1101413,1.0022,1.0022,121,121,63.8472,150733,ns3::ThompsonSamplingWifiManager,D
407456,1,1,7,3,2.85724,1.82537e-05,0.0884349,103.948,1634872904,1682959064,1069943,1101413,1.00587,1.00587,121,121,19.5304,94620.3,ns3::ThompsonSamplingWifiManager,E
407456,2,1,7,3,1.30333,1.3775e-05,0.0702426,105.613,1661024624,1682959064,1087058,1101413,1.00849,1.00849,121,121,14.9743,76357.7,ns3::ThompsonSamplingWifiManager,E
407456,1,1,9,1,57.0851,0.000336832,1.61925,45.9265,722239760,1682959064,472670,1101413,1.02008,1.02008,121,121,159.21,765369,ns3::ThompsonSamplingWifiManager,B
407456,2,1,9,1,57.8688,0.000345433,1.63881,45.0846,709050064,1682959064,464038,1101413,1.00253,1.00253,120.991,120.991,160.294,760469,ns3::ThompsonSamplingWifiManager,B
407456,1,1,9,2,4.68317,2.62877e-05,0.152716,101.997,1604143296,1682959064,1049832,1101413,1.00944,1.00944,121,121,27.5976,160326,ns3::ThompsonSamplingWifiManager,C
407456,2,1,9,2,15.9977,0.000147843,0.942089,89.8838,1413723936,1682959064,925212,1101413,1.00222,1.00222,121,121,136.786,871632,ns3::ThompsonSamplingWifiManager,C
407456,1,1,9,2,6.71329,2.76664e-05,0.262714,99.825,1569977216,1682959064,1027472,1101413,1.01021,1.01021,121,121,28.4264,269932,ns3::ThompsonSamplingWifiManager,D
407456,2,1,9,2,12.3766,0.000188391,0.800804,93.7595,1474665160,1682959064,965095,1101413,1.0022,1.0022,120.999,120.999,181.815,772852,ns3::ThompsonSamplingWifiManager,D
407456,1,1,11,1,62.4344,0.000359258,1.8008,40.2122,632213056,1682959064,413752,1101413,1.05108,1.05108,121,121,148.643,745086,ns3::ThompsonSamplingWifiManager,B
407456,2,1,11,1,62.9146,0.000368134,1.81649,39.6896,624131464,1682959064,408463,1101413,1.00325,1.00325,120.978,120.978,150.369,741969,ns3::ThompsonSamplingWifiManager,B
407456,1,1,9,3,10.4712,8.06505e-05,0.602673,95.8003,1506733296,1682959064,986082,1101413,1.00587,1.00587,121,121,79.5279,594285,ns3::ThompsonSamplingWifiManager,E
407456,2,1,9,3,9.89602,0.000184011,0.504604,96.4178,1516413176,1682959064,992417,1101413,1.00849,1.00849,121,121,182.615,500777,ns3::ThompsonSamplingWifiManager,E
407456,1,1,11,2,5.21412,2.66744e-05,0.161248,101.432,1595207552,1682959064,1043984,1101413,1.01291,1.01291,121,121,27.8476,168341,ns3::ThompsonSamplingWifiManager,C
407456,2,1,11,2,23.9027,6.73229e-05,1.09134,81.4254,1280687088,1682959064,838146,1101413,1.00222,1.00222,121,121,56.4264,914705,ns3::ThompsonSamplingWifiManager,C
407456,1,1,11,2,7.32214,3.08912e-05,0.312929,99.1735,1559730448,1682959064,1020766,1101413,1.01032,1.01032,121,121,31.5326,319427,ns3::ThompsonSamplingWifiManager,D
