rngRun,flow,nStations,distance,nLinks,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager
407457,1,1,1,3,45.2057,0.000106511,0.913692,70.4199,1107467484,2021136408,1077303,1966086,1.01531,1.01531,121,121,114.744,984323,ns3::MinstrelHtWifiManager
407457,2,1,1,3,0.0048828,3.92809e-05,0.00515845,128.497,2021037720,2021136408,1965990,1966086,1.00282,1.00282,121,121,77.2259,10141.5,ns3::MinstrelHtWifiManager
407458,1,1,1,1,54.9977,0.000153044,1.06299,57.8342,909557952,2021136408,884784,1966086,1.01019,1.01019,120.998,120.998,135.41,940518,ns3::IdealWifiManager
407458,2,1,1,1,55.0319,0.00015306,1.06356,57.7894,908866108,2021136408,884111,1966086,1.01081,1.01081,121,121,135.322,940309,ns3::IdealWifiManager
407457,1,1,1,2,21.2473,3.18212e-05,0.668092,101.202,1591698660,2021136408,1548345,1966086,1.00527,1.00527,121,121,49.2702,1.03444e+06,ns3::ThompsonSamplingWifiManager
407457,2,1,1,2,20.0456,2.9591e-05,0.661937,102.751,1615988244,2021136408,1571973,1966086,1.01127,1.01127,121,121,46.5162,1.04055e+06,ns3::ThompsonSamplingWifiManager
407458,1,1,1,2,55.3295,0.000154797,1.06854,57.409,902851280,2021136408,878260,1966086,1.01104,1.01104,120.996,120.996,135.952,938452,ns3::IdealWifiManager
407458,2,1,1,2,55.0285,0.000153319,1.06283,57.7964,908936012,2021136408,884179,1966086,1.01628,1.01628,121,121,135.561,939734,ns3::IdealWifiManager
407458,1,1,1,1,65.5966,0.000230457,1.29742,44.2148,695339200,2021136408,676400,1966086,1.00696,1.00696,120.99,120.99,155.881,877572,ns3::MinstrelHtWifiManager
407458,2,1,1,1,65.7518,0.000231531,1.29933,44.0245,692203800,2021136408,673350,1966086,1.0419,1.0419,121,121,155.901,874906,ns3::MinstrelHtWifiManager
407458,1,1,1,2,66.6611,0.000241121,1.32901,42.8485,673825216,2021136408,655472,1966086,1.02183,1.02183,121,121,158.048,871132,ns3::MinstrelHtWifiManager
407458,2,1,1,2,63.6402,0.000212242,1.24625,46.7322,734881220,2021136408,714865,1966086,1.00852,1.00852,120.984,120.984,151.724,890901,ns3::MinstrelHtWifiManager
407457,1,1,1,3,21.1166,3.26149e-05,0.667453,101.377,1594341648,2021136408,1550916,1966086,1.01292,1.01292,121,121,50.583,1.03516e+06,ns3::ThompsonSamplingWifiManager
407457,2,1,1,3,0.00757851,3.29413e-05,0.000749237,128.5,2020983236,2021136408,1965937,1966086,1.00895,1.00895,121,121,64.7606,1472.95,ns3::ThompsonSamplingWifiManager
407458,1,1,1,3,21.9978,4.85046e-05,0.673477,100.248,1576531548,2021136408,1533591,1966086,1.01799,1.01799,121,121,74.3862,1.03284e+06,ns3::IdealWifiManager
407458,2,1,1,3,0.0131225,3.68636e-05,0.00317744,128.498,2020871184,2021136408,1965828,1966086,1.01379,1.01379,121,121,72.4674,6246.31,ns3::IdealWifiManager
407458,1,1,1,1,62.1545,0.000198701,1.21123,48.6352,764909100,2021136408,744075,1966086,1.00855,1.00855,121,121,147.848,901248,ns3::ThompsonSamplingWifiManager
407458,2,1,1,1,61.7714,0.000195292,1.2028,49.1347,772651996,2021136408,751607,1966086,1.0264,1.0264,121,121,146.782,904033,ns3::ThompsonSamplingWifiManager
407458,1,1,1,3,45.483,0.000107943,0.916292,70.0594,1101863856,2021136408,1071852,1966086,1.00813,1.00813,121,121,115.698,982130,ns3::MinstrelHtWifiManager
407458,2,1,1,3,0.0105794,3.94568e-05,0.00512643,128.498,2020922584,2021136408,1965878,1966086,1.0103,1.0103,121,121,77.5671,10077.9,ns3::MinstrelHtWifiManager
407458,1,1,1,2,21.2583,3.18165e-05,0.668256,101.187,1591477640,2021136408,1548130,1966086,1.00389,1.00389,121,121,49.256,1.03455e+06,ns3::ThompsonSamplingWifiManager
407458,2,1,1,2,20.0838,2.96394e-05,0.660993,102.705,1615216216,2021136408,1571222,1966086,1.01446,1.01446,121,121,46.5701,1.03857e+06,ns3::ThompsonSamplingWifiManager
407458,1,1,1,3,21.1255,3.26815e-05,0.668043,101.362,1594161748,2021136408,1550741,1966086,1.00951,1.00951,121,121,50.6806,1.03596e+06,ns3::ThompsonSamplingWifiManager
407458,2,1,1,3,0.00544228,3.30261e-05,0.000760944,128.501,2021026412,2021136408,1965979,1966086,1.00686,1.00686,121,121,64.9287,1496,ns3::ThompsonSamplingWifiManager
