rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario
407456,1,1,1,1,47.7623,0.000206168,1.44354,55.9136,879139384,1682959064,575353,1101413,1.04002,1.04002,120.998,120.998,118.619,830548,ns3::ThompsonSamplingWifiManager,A
407456,2,1,1,1,48.6806,0.000213597,1.45187,54.9142,863683664,1682959064,565238,1101413,1.0058,1.0058,121,121,120.733,820650,ns3::ThompsonSamplingWifiManager,A
407456,1,1,1,2,4.86203,2.19518e-05,0.15407,101.804,1601133136,1682959064,1047862,1101413,1.00696,1.00696,120.999,120.999,23.0024,161444,ns3::ThompsonSamplingWifiManager,C
407456,2,1,1,2,5.59145,2.36951e-05,0.202112,101.024,1588857184,1682959064,1039828,1101413,1.00892,1.00892,121,121,24.6388,210162,ns3::ThompsonSamplingWifiManager,C
407456,1,1,1,2,0.360264,1.16912e-05,0.0564252,106.621,1676895960,1682959064,1097445,1101413,1.00803,1.00803,121,121,12.8304,61923.5,ns3::ThompsonSamplingWifiManager,D
407456,2,1,1,2,4.91387,2.20777e-05,0.156695,101.749,1600260648,1682959064,1047291,1101413,1.00862,1.00862,121,121,23.1218,164106,ns3::ThompsonSamplingWifiManager,D
407456,1,1,1,3,4.55506,2.1187e-05,0.144018,102.131,1606299304,1682959064,1051243,1101413,1.00587,1.00587,121,121,22.2727,151398,ns3::ThompsonSamplingWifiManager,E
407456,2,1,1,3,6.13339,2.496e-05,0.215076,100.449,1579736552,1682959064,1033859,1101413,1.01439,1.01439,121,121,25.8051,222358,ns3::ThompsonSamplingWifiManager,E
407456,1,1,3,1,48.2753,0.000226368,1.44071,55.3645,870506184,1682959064,569703,1101413,1.04002,1.04002,120.998,120.998,128.962,820777,ns3::ThompsonSamplingWifiManager,A
407456,2,1,3,1,49.2044,0.00023432,1.46067,54.3538,854868632,1682959064,559469,1101413,1.0058,1.0058,121,121,131.094,817199,ns3::ThompsonSamplingWifiManager,A
