rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec,channelSwitchDelay
3,2,1,1,3,22.3587,6.84214e-05,1.06022,84.6321,1331068304,1714380856,871118,1121977,1.0071,1.0071,121,121,59.603,923578,ns3::ThompsonSamplingWifiManager,3,0,32,128,50
3,3,1,1,3,39.4095,0.000143651,1.29517,66.0479,1038751208,1714380856,679811,1121977,1.00528,1.00528,120.995,120.995,97.6554,880474,ns3::ThompsonSamplingWifiManager,3,0,32,128,50
3,4,1,1,3,4.81088,1.79486e-05,0.151903,103.762,1631904000,1714380856,1068000,1121977,1.00934,1.00934,121,121,19.169,162232,ns3::ThompsonSamplingWifiManager,3,0,32,128,50
3,1,1,1,3,45.7013,0.000183584,1.38116,59.2059,930886632,1714380856,609219,1121977,1.04279,1.04279,120.999,120.999,111.843,841427,ns3::ThompsonSamplingWifiManager,3,0,32,128,55
3,2,1,1,3,22.6541,6.90623e-05,1.00347,84.3101,1326002984,1714380856,867803,1121977,1.0071,1.0071,121,121,59.9324,870812,ns3::ThompsonSamplingWifiManager,3,0,32,128,55
3,3,1,1,3,39.3832,0.000143618,1.31977,66.0737,1039203496,1714380856,680107,1121977,1.00528,1.00528,121,121,97.6754,897588,ns3::ThompsonSamplingWifiManager,3,0,32,128,55
3,4,1,1,3,4.83192,1.79578e-05,0.157392,103.739,1631543392,1714380856,1067764,1121977,1.00934,1.00934,121,121,19.1746,168058,ns3::ThompsonSamplingWifiManager,3,0,32,128,55
3,1,1,1,3,44.6891,0.000176466,1.35755,60.2965,948240128,1714380856,620576,1121977,1.01313,1.01313,120.995,120.995,109.511,842461,ns3::ThompsonSamplingWifiManager,3,0,32,128,60
3,2,1,1,3,22.1723,6.64846e-05,1.03524,84.85,1334263352,1714380856,873209,1121977,1.02791,1.02791,121,121,58.0549,903985,ns3::ThompsonSamplingWifiManager,3,0,32,128,60
3,3,1,1,3,40.4018,0.000149542,1.401,64.9624,1021739984,1714380856,668678,1121977,1.00313,1.00313,121,121,99.995,936821,ns3::ThompsonSamplingWifiManager,3,0,32,128,60
3,4,1,1,3,4.9214,1.81175e-05,0.161442,103.642,1630009280,1714380856,1066760,1121977,1.00935,1.00935,121,121,19.327,172219,ns3::ThompsonSamplingWifiManager,3,0,32,128,60
3,1,1,1,3,43.915,0.000171702,1.37067,61.1379,961510808,1714380856,629261,1121977,1.01313,1.01313,121,121,108.045,862508,ns3::ThompsonSamplingWifiManager,3,0,32,128,65
3,2,1,1,3,24.7102,7.61002e-05,1.13745,82.0809,1290753552,1714380856,844734,1121977,1.02472,1.02472,121,121,64.2844,960840,ns3::ThompsonSamplingWifiManager,3,0,32,128,65
3,3,1,1,3,38.5423,0.00013894,1.2817,66.9912,1053618648,1714380856,689541,1121977,1.00314,1.00314,120.996,120.996,95.805,883784,ns3::ThompsonSamplingWifiManager,3,0,32,128,65
3,4,1,1,3,5.02426,1.84558e-05,0.167142,103.529,1628245968,1714380856,1065606,1121977,1.00935,1.00935,121,121,19.6666,178107,ns3::ThompsonSamplingWifiManager,3,0,32,128,65
3,1,1,1,3,42.3592,0.000161689,1.36754,62.8339,988183576,1714380856,646717,1121977,1.01313,1.01313,121,121,104.567,884413,ns3::ThompsonSamplingWifiManager,3,0,32,128,70
3,2,1,1,3,25.2612,7.86345e-05,1.10014,81.4816,1281307456,1714380856,838552,1121977,1.02412,1.02412,120.997,120.997,65.939,922527,ns3::ThompsonSamplingWifiManager,3,0,32,128,70
3,3,1,1,3,39.2113,0.000142719,1.32655,66.2599,1042149480,1714380856,682035,1121977,1.00314,1.00314,121,121,97.3395,904754,ns3::ThompsonSamplingWifiManager,3,0,32,128,70
3,4,1,1,3,4.98575,1.83091e-05,0.165407,103.571,1628906064,1714380856,1066038,1121977,1.00935,1.00935,121,121,19.5182,176331,ns3::ThompsonSamplingWifiManager,3,0,32,128,70
3,1,1,1,3,50.8903,0.0002247,1.42363,53.5347,841926472,1714380856,550999,1121977,1.01313,1.01313,120.999,120.999,123.809,784418,ns3::ThompsonSamplingWifiManager,3,0,32,128,75
3,2,1,1,3,50.2276,0.000218484,1.44345,54.2663,853288680,1714380856,558435,1121977,1.03466,1.03466,121,121,122.009,806072,ns3::ThompsonSamplingWifiManager,3,0,32,128,75
3,3,1,1,3,4.10793,1.61859e-05,0.126823,104.523,1643955336,1714380856,1075887,1121977,1.00315,1.00315,121,121,17.4141,136448,ns3::ThompsonSamplingWifiManager,3,0,32,128,75
3,4,1,1,3,5.11722,1.84857e-05,0.169776,103.428,1626652264,1714380856,1064563,1121977,1.00935,1.00935,121,121,19.6791,180738,ns3::ThompsonSamplingWifiManager,3,0,32,128,75
3,1,1,1,3,50.6952,0.000222745,1.44156,53.7481,845272792,1714380856,553189,1121977,1.01259,1.01259,120.997,120.997,123.22,797456,ns3::ThompsonSamplingWifiManager,3,0,32,128,80
3,2,1,1,3,50.2921,0.000219169,1.425,54.2008,852182408,1714380856,557711,1121977,1.04549,1.04549,121,121,122.233,794739,ns3::ThompsonSamplingWifiManager,3,0,32,128,80
3,3,1,1,3,4.04313,1.60655e-05,0.123851,104.593,1645066192,1714380856,1076614,1121977,1.00337,1.00337,121,121,17.2963,133340,ns3::ThompsonSamplingWifiManager,3,0,32,128,80
3,4,1,1,3,5.20367,1.87029e-05,0.173688,103.334,1625170104,1714380856,1063593,1121977,1.00958,1.00958,121,121,19.8922,184734,ns3::ThompsonSamplingWifiManager,3,0,32,128,80
