rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec,channelSwitchDelay
1,3,1,1,3,19.0978,5.18806e-05,0.943685,88.1933,1386971712,1714380856,907704,1121977,1.01636,1.01636,121,121,47.0922,856586,ns3::ThompsonSamplingWifiManager,3,0,32,128,35
1,4,1,1,3,4.44207,1.69624e-05,0.141001,104.167,1638226864,1714380856,1072138,1121977,1.01294,1.01294,121,121,18.186,151173,ns3::ThompsonSamplingWifiManager,3,0,32,128,35
1,1,1,1,3,41.6122,0.000156556,1.34527,63.6602,1000989744,1714380856,655098,1121977,1.03285,1.03285,120.997,120.997,102.56,881282,ns3::ThompsonSamplingWifiManager,3,0,32,128,40
1,2,1,1,3,51.0011,0.000182225,1.37701,53.4121,840027168,1714380856,549756,1121977,1.01038,1.01038,121,121,100.179,757018,ns3::ThompsonSamplingWifiManager,3,0,32,128,40
1,3,1,1,3,12.4467,3.33011e-05,0.67961,95.4423,1500997184,1714380856,982328,1121977,1.01432,1.01432,121,121,32.7126,667600,ns3::ThompsonSamplingWifiManager,3,0,32,128,40
1,4,1,1,3,5.00082,1.8277e-05,0.163462,103.556,1628647832,1714380856,1065869,1121977,1.01035,1.01035,121,121,19.4809,174230,ns3::ThompsonSamplingWifiManager,3,0,32,128,40
1,1,1,1,3,41.5172,0.000156138,1.33312,63.7661,1002618592,1714380856,656164,1121977,1.03182,1.03182,120.992,120.992,102.452,874745,ns3::ThompsonSamplingWifiManager,3,0,32,128,45
1,2,1,1,3,49.8955,0.000180594,1.38915,54.6174,858982008,1714380856,562161,1121977,1.0104,1.0104,121,121,101.523,780928,ns3::ThompsonSamplingWifiManager,3,0,32,128,45
1,3,1,1,3,13.1698,3.54784e-05,0.745102,94.6541,1488600520,1714380856,974215,1121977,1.01446,1.01446,121,121,34.5636,725890,ns3::ThompsonSamplingWifiManager,3,0,32,128,45
1,4,1,1,3,4.96828,1.81787e-05,0.164453,103.591,1629205552,1714380856,1066234,1121977,1.01035,1.01035,121,121,19.3827,175345,ns3::ThompsonSamplingWifiManager,3,0,32,128,45
1,1,1,1,3,41.7296,0.00015749,1.33527,63.5283,998977368,1714380856,653781,1121977,1.02839,1.02839,121,121,102.964,872977,ns3::ThompsonSamplingWifiManager,3,0,32,128,50
1,2,1,1,3,49.3902,0.000177016,1.38171,55.1699,867644240,1714380856,567830,1121977,1.0104,1.0104,120.996,120.996,100.515,784578,ns3::ThompsonSamplingWifiManager,3,0,32,128,50
1,3,1,1,3,14.0949,3.70585e-05,0.834237,93.6456,1472739880,1714380856,963835,1121977,1.01446,1.01446,121,121,35.7183,804067,ns3::ThompsonSamplingWifiManager,3,0,32,128,50
1,4,1,1,3,4.97746,1.84167e-05,0.163025,103.581,1629048168,1714380856,1066131,1121977,1.01035,1.01035,121,121,19.6346,173806,ns3::ThompsonSamplingWifiManager,3,0,32,128,50
