rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager
407456,2,1,9,3,13.5654,2.7783e-05,0.796014,109.781,1726565128,1997539120,1129951,1307290,1.00928,1.00928,121,121,31.3933,899457,ns3::IdealWifiManager
407456,1,1,13,1,61.9455,0.000296137,1.60451,48.3331,760154024,1997539120,497483,1307290,1.00952,1.00952,121,121,147.323,798215,ns3::IdealWifiManager
407456,2,1,13,1,61.8595,0.000295171,1.59883,48.4476,761871496,1997539120,498607,1307290,1.01955,1.01955,120.997,120.997,147.174,797186,ns3::IdealWifiManager
407456,1,1,11,2,32.544,8.8063e-05,1.08042,85.676,1347459160,1997539120,881845,1307290,1.00947,1.00947,121,121,77.6578,952763,ns3::IdealWifiManager
407456,2,1,11,2,19.4907,4.35333e-05,0.889788,102.259,1608204720,1997539120,1052490,1307290,1.01437,1.01437,121,121,45.8183,936493,ns3::IdealWifiManager
407456,1,1,11,3,32.5856,8.82004e-05,1.07977,85.6232,1346629456,1997539120,881302,1307290,1.00937,1.00937,121,121,77.7311,951608,ns3::IdealWifiManager
407456,2,1,11,3,19.7272,4.41172e-05,0.900085,101.954,1603480144,1997539120,1049398,1307290,1.00929,1.00929,121,121,46.2965,944547,ns3::IdealWifiManager
407456,1,1,15,1,65.5848,0.000346003,1.71628,43.7118,687457896,1997539120,449907,1307290,1.00953,1.00953,120.997,120.997,155.669,772166,ns3::IdealWifiManager
407456,2,1,15,1,65.3343,0.00034259,1.70471,44.0333,692460568,1997539120,453181,1307290,1.02131,1.02131,121,121,155.255,772542,ns3::IdealWifiManager
407456,1,1,13,2,32.6261,8.8211e-05,1.08033,85.5717,1345819616,1997539120,880772,1307290,1.00947,1.00947,121,121,77.6937,951525,ns3::IdealWifiManager
407456,2,1,13,2,19.5055,4.52634e-05,0.890311,102.24,1607908288,1997539120,1052296,1307290,1.01437,1.01437,121,121,47.6304,936871,ns3::IdealWifiManager
407456,1,1,13,3,32.6934,8.84578e-05,1.08161,85.4863,1344476504,1997539120,879893,1307290,1.00937,1.00937,121,121,77.8333,951698,ns3::IdealWifiManager
407456,2,1,13,3,19.7703,4.59242e-05,0.89666,101.9,1602619880,1997539120,1048835,1307290,1.00929,1.00929,121,121,48.1668,940448,ns3::IdealWifiManager
407456,1,1,17,1,69.3935,0.000409058,1.85068,38.8734,611377248,1997539120,400116,1307290,1.00954,1.00954,121,121,163.67,740488,ns3::IdealWifiManager
407456,2,1,17,1,69.0125,0.00040202,1.83475,39.3628,618988216,1997539120,405097,1307290,1.02273,1.02273,120.997,120.997,162.857,743253,ns3::IdealWifiManager
407456,1,1,15,2,32.6868,9.11863e-05,1.08067,85.4946,1344607912,1997539120,879979,1307290,1.00947,1.00947,121,121,80.242,950971,ns3::IdealWifiManager
407456,2,1,15,2,27.1019,6.68003e-05,1.02432,92.5918,1456167192,1997539120,952989,1307290,1.01439,1.01439,121,121,63.6598,976163,ns3::IdealWifiManager
407456,1,1,15,3,32.7136,9.13754e-05,1.0823,85.4605,1344071584,1997539120,879628,1307290,1.00937,1.00937,121,121,80.3762,952024,ns3::IdealWifiManager
407456,2,1,15,3,27.3124,6.7482e-05,1.02697,92.3206,1451963664,1997539120,950238,1307290,1.0093,1.0093,121,121,64.1239,975865,ns3::IdealWifiManager
407456,1,1,19,1,69.5325,0.000411363,1.85621,38.6984,608599344,1997539120,398298,1307290,1.00954,1.00954,120.995,120.995,163.845,739325,ns3::IdealWifiManager
407456,2,1,19,1,69.1929,0.000404872,1.84205,39.1325,615383664,1997539120,402738,1307290,1.02273,1.02273,121,121,163.057,741862,ns3::IdealWifiManager
407456,1,1,17,2,39.4879,0.000124052,1.14088,76.8565,1208751904,1997539120,791068,1307290,1.00949,1.00949,121,121,98.1333,902512,ns3::IdealWifiManager
407456,2,1,17,2,34.8966,9.38602e-05,1.10293,82.6914,1300465520,1997539120,851090,1307290,1.0144,1.0144,121,121,79.8834,938696,ns3::IdealWifiManager
407456,1,1,17,3,39.5343,0.000124267,1.14113,76.7976,1207825936,1997539120,790462,1307290,1.00938,1.00938,121,121,98.228,902019,ns3::IdealWifiManager
407456,2,1,17,3,35.0954,9.47168e-05,1.10392,82.4353,1296494248,1997539120,848491,1307290,1.00932,1.00932,121,121,80.3662,936665,ns3::IdealWifiManager
407456,1,1,19,2,49.5599,0.000173918,1.30593,64.0641,1007560144,1997539120,659398,1307290,1.00952,1.00952,121,121,114.681,861129,ns3::IdealWifiManager
407456,2,1,19,2,34.8998,9.38688e-05,1.10296,82.6872,1300401344,1997539120,851048,1307290,1.0144,1.0144,121,121,79.8868,938669,ns3::IdealWifiManager
407456,1,1,21,1,69.5875,0.000412673,1.85851,38.6275,607502240,1997539120,397580,1307290,1.00954,1.00954,120.999,120.999,164.07,738907,ns3::IdealWifiManager
407456,2,1,21,1,69.3571,0.000407805,1.84781,38.924,612104576,1997539120,400592,1307290,1.02273,1.02273,121,121,163.363,740219,ns3::IdealWifiManager
407456,1,1,19,3,49.563,0.000174022,1.30537,64.0601,1007499024,1997539120,659358,1307290,1.00941,1.00941,121,121,114.742,860708,ns3::IdealWifiManager
407456,2,1,19,3,35.0918,9.46897e-05,1.1029,82.44,1296567592,1997539120,848539,1307290,1.00932,1.00932,121,121,80.3478,935855,ns3::IdealWifiManager
407456,1,1,23,1,69.5438,0.000411884,1.85638,38.6825,608374728,1997539120,398151,1307290,1.00954,1.00954,121,121,163.992,739118,ns3::IdealWifiManager
407456,2,1,23,1,69.3299,0.000407452,1.84687,38.9627,612647016,1997539120,400947,1307290,1.02273,1.02273,120.987,120.987,163.366,740496,ns3::IdealWifiManager
407456,1,1,21,2,49.5443,0.000174033,1.30548,64.084,1007871856,1997539120,659602,1307290,1.00955,1.00955,121,121,114.792,861097,ns3::IdealWifiManager
407456,2,1,21,2,34.881,9.379e-05,1.10132,82.7109,1300777232,1997539120,851294,1307290,1.01404,1.01404,121,121,79.8428,937549,ns3::IdealWifiManager
407456,1,1,21,3,49.5706,0.00017404,1.30593,64.0505,1007346224,1997539120,659258,1307290,1.00941,1.00941,121,121,114.737,860943,ns3::IdealWifiManager
407456,2,1,21,3,35.0918,9.46987e-05,1.10373,82.44,1296567592,1997539120,848539,1307290,1.00932,1.00932,121,121,80.3554,936555,ns3::IdealWifiManager
407456,1,1,23,2,49.6152,0.000175783,1.30728,63.9939,1006455400,1997539120,658675,1307290,1.00955,1.00955,121,121,115.784,861075,ns3::IdealWifiManager
407456,2,1,23,2,34.8826,9.39157e-05,1.10175,82.7089,1300745144,1997539120,851273,1307290,1.01404,1.01404,121,121,79.9478,937890,ns3::IdealWifiManager
407456,1,1,25,1,69.4798,0.000413368,1.85425,38.7666,609652136,1997539120,398987,1307290,1.00954,1.00954,120.991,120.991,164.928,739820,ns3::IdealWifiManager
407456,2,1,25,1,69.2469,0.000408549,1.84389,39.0639,614304896,1997539120,402032,1307290,1.02273,1.02273,121,121,164.25,741302,ns3::IdealWifiManager
407456,1,1,27,1,69.9159,0.000460499,1.8734,38.2114,600942536,1997539120,393287,1307290,1.00954,1.00954,120.995,120.995,181.108,736785,ns3::IdealWifiManager
407456,2,1,27,1,69.6287,0.000453959,1.86094,38.58,606678648,1997539120,397041,1307290,1.02273,1.02273,120.997,120.997,180.24,738871,ns3::IdealWifiManager
407456,1,1,23,3,49.6231,0.000175879,1.30746,63.9837,1006298016,1997539120,658572,1307290,1.00941,1.00941,121,121,115.829,861053,ns3::IdealWifiManager
407456,2,1,23,3,35.0833,9.47481e-05,1.10364,82.4506,1296735672,1997539120,848649,1307290,1.00932,1.00932,121,121,80.4078,936601,ns3::IdealWifiManager
407456,1,1,25,2,54.5486,0.000202064,1.42026,57.728,907910096,1997539120,594182,1307290,1.00957,1.00957,121,121,120.062,843891,ns3::IdealWifiManager
407456,2,1,25,2,34.9249,9.74548e-05,1.10187,82.6552,1299900160,1997539120,850720,1307290,1.01404,1.01404,121,121,82.9066,937381,ns3::IdealWifiManager
407456,1,1,25,3,54.6131,0.000203857,1.42178,57.6459,906620464,1997539120,593338,1307290,1.00943,1.00943,121,121,120.956,843597,ns3::IdealWifiManager
407456,2,1,25,3,35.1547,9.82275e-05,1.10414,82.36,1295310048,1997539120,847716,1307290,1.00932,1.00932,121,121,83.269,936001,ns3::IdealWifiManager
407456,1,1,29,1,72.5557,0.000490213,1.9838,34.857,548209728,1997539120,358776,1307290,1.00956,1.00956,121,121,175.876,711741,ns3::IdealWifiManager
407456,2,1,29,1,72.5238,0.000489421,1.97914,34.9032,548846904,1997539120,359193,1307290,1.02391,1.02391,120.995,120.995,175.796,710892,ns3::IdealWifiManager
407456,1,1,27,2,54.9039,0.000229998,1.42841,57.2767,900812536,1997539120,589537,1307290,1.00959,1.00959,121,121,135.592,842101,ns3::IdealWifiManager
407456,2,1,27,2,35.7697,0.000139492,1.10949,81.5831,1283024928,1997539120,839676,1307290,1.01426,1.01426,120.999,120.999,117.128,931611,ns3::IdealWifiManager
407456,1,1,27,3,54.9535,0.000231082,1.42955,57.2137,899822392,1997539120,588889,1307290,1.00943,1.00943,121,121,136.082,841848,ns3::IdealWifiManager
407456,2,1,27,3,35.9922,0.000141941,1.11213,81.2963,1278579976,1997539120,836767,1307290,1.00944,1.00944,121,121,118.772,930590,ns3::IdealWifiManager
407456,1,1,31,1,77.1426,0.000604486,2.21778,29.035,456584736,1997539120,298812,1307290,1.00959,1.00959,120.984,120.984,180.627,662699,ns3::IdealWifiManager
407456,2,1,31,1,76.8334,0.0005935,2.19849,29.4288,462762440,1997539120,302855,1307290,1.02905,1.02905,121,121,179.744,665823,ns3::IdealWifiManager
407456,1,1,29,2,59.6643,0.000262175,1.5444,51.2306,805722040,1997539120,527305,1307290,1.00961,1.00961,121,121,138.246,814372,ns3::IdealWifiManager
407456,2,1,29,2,41.6767,0.000140062,1.15631,74.0795,1165031240,1997539120,762455,1307290,1.01427,1.01427,121,121,106.791,881636,ns3::IdealWifiManager
407456,1,1,33,1,77.1031,0.000602265,2.21531,29.0828,457374712,1997539120,299329,1307290,1.00959,1.00959,120.994,120.994,180.275,663108,ns3::IdealWifiManager
407456,2,1,33,1,76.8038,0.000592555,2.19693,29.4663,463352248,1997539120,303241,1307290,1.02905,1.02905,121,121,179.686,666198,ns3::IdealWifiManager
407456,1,1,31,2,69.7551,0.000385251,1.87064,38.4142,604152864,1997539120,395388,1307290,1.00967,1.00967,121,121,152.323,739629,ns3::IdealWifiManager
407456,2,1,31,2,51.1637,0.000182214,1.34395,62.0296,975524096,1997539120,638432,1307290,1.01429,1.01429,121,121,116.331,858019,ns3::IdealWifiManager
407456,1,1,29,3,59.7044,0.000262647,1.5455,51.1797,804919840,1997539120,526780,1307290,1.00945,1.00945,120.999,120.999,138.357,814137,ns3::IdealWifiManager
407456,2,1,29,3,41.8745,0.000141572,1.15677,73.8253,1161079832,1997539120,759869,1307290,1.00945,1.00945,121,121,107.576,878992,ns3::IdealWifiManager
407456,1,1,31,3,69.7532,0.000383845,1.87053,38.4165,604191064,1997539120,395413,1307290,1.00953,1.00953,121,121,151.777,739632,ns3::IdealWifiManager
407456,2,1,31,3,51.3256,0.000183469,1.34747,61.8215,972290848,1997539120,636316,1307290,1.00948,1.00948,121,121,116.744,857414,ns3::IdealWifiManager
407456,1,1,35,1,77.0667,0.000601776,2.21359,29.1277,458102040,1997539120,299805,1307290,1.00959,1.00959,121,121,180.415,663645,ns3::IdealWifiManager
407456,2,1,35,1,76.865,0.000593625,2.19884,29.3888,462131376,1997539120,302442,1307290,1.02905,1.02905,120.999,120.999,179.536,665021,ns3::IdealWifiManager
