rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,dataRate,scenario,switchAuxPhy
407456,1,1,17,2,24.1661,0.000194942,1.11284,81.1455,1276252832,1682959064,835244,1101413,1.0047,1.0047,121,121,162.824,929493,107,B,0
407456,1,1,17,2,20.8747,0.000180323,1.01864,84.6671,1331645888,1682959064,871496,1101413,1.00463,1.00463,121,121,157.151,887742,107,C,0
407456,1,1,17,3,27.6194,0.000204843,1.19242,77.4516,1218135352,1682959064,797209,1101413,1.00501,1.00501,120.998,120.998,163.303,950609,107,D,0
407456,1,1,19,1,21.6266,5.76945e-05,1.02388,83.8764,1318992520,1682959064,863215,1101413,1.02447,1.02447,121,121,49.8027,883833,107,A,0
407456,1,1,19,2,31.6927,0.000176795,1.24998,73.094,1149583160,1682959064,752345,1101413,1.0047,1.0047,120.996,120.996,133.011,940414,107,B,0
407456,1,1,19,2,26.8977,0.000120598,1.18315,78.2258,1230281424,1682959064,805158,1101413,1.00324,1.00324,120.993,120.993,97.1006,952624,107,C,0
407456,1,1,19,3,36.0468,0.000163989,1.31572,68.4429,1076306392,1682959064,704389,1101413,1.02307,1.02307,121,121,115.512,926781,107,D,0
407456,1,1,21,1,22.2216,6.01609e-05,1.04145,83.2396,1308978008,1682959064,856661,1101413,1.02447,1.02447,121,121,51.5374,892170,107,A,0
407456,1,1,21,2,37.9171,0.000137378,1.34189,66.4324,1044829592,1682959064,683789,1101413,1.00693,1.00693,121,121,93.9377,917568,107,B,0
407456,1,1,21,2,30.3714,0.000106242,1.22205,74.5054,1171820144,1682959064,766898,1101413,1.00495,1.00495,121,121,81.4767,937184,107,C,0
407457,1,1,1,1,1.84045,1.49732e-05,0.0680233,105.041,1651984976,1682959064,1081142,1101413,1.01267,1.01267,121,121,16.1882,73542.8,107,A,0
407457,1,1,1,2,2.75301,1.70373e-05,0.0849333,104.056,1636627048,1682959064,1071091,1101413,1.00278,1.00278,121,121,18.2485,90971.3,107,B,0
407457,1,1,1,2,2.7846,1.71157e-05,0.0852238,104.022,1636095304,1682959064,1070743,1101413,1.00223,1.00223,121,121,18.3265,91252.8,107,C,0
407457,1,1,1,3,2.64696,1.67971e-05,0.0820275,104.174,1638411752,1682959064,1072259,1101413,1.00707,1.00707,121,121,18.0108,87954.7,107,D,0
407457,1,1,3,1,1.84045,1.49732e-05,0.0680233,105.041,1651984976,1682959064,1081142,1101413,1.01267,1.01267,121,121,16.1882,73542.8,107,A,0
407457,1,1,3,2,2.75301,1.70373e-05,0.0849333,104.056,1636627048,1682959064,1071091,1101413,1.00278,1.00278,121,121,18.2485,90971.3,107,B,0
407457,1,1,3,2,2.7846,1.71157e-05,0.0852238,104.022,1636095304,1682959064,1070743,1101413,1.00223,1.00223,121,121,18.3265,91252.8,107,C,0
407457,1,1,3,3,2.64696,1.67971e-05,0.0820275,104.174,1638411752,1682959064,1072259,1101413,1.00707,1.00707,121,121,18.0108,87954.7,107,D,0
407457,1,1,5,1,1.84045,1.49732e-05,0.0680233,105.041,1651984976,1682959064,1081142,1101413,1.01267,1.01267,121,121,16.1882,73542.8,107,A,0
407457,1,1,5,2,2.75301,1.70373e-05,0.0849333,104.056,1636627048,1682959064,1071091,1101413,1.00278,1.00278,121,121,18.2485,90971.3,107,B,0
407457,1,1,5,2,2.7846,1.71157e-05,0.0852238,104.022,1636095304,1682959064,1070743,1101413,1.00223,1.00223,121,121,18.3265,91252.8,107,C,0
407457,1,1,5,3,2.64696,1.67971e-05,0.0820275,104.174,1638411752,1682959064,1072259,1101413,1.00707,1.00707,121,121,18.0108,87954.7,107,D,0
407457,1,1,7,1,1.84045,1.49732e-05,0.0680233,105.041,1651984976,1682959064,1081142,1101413,1.01267,1.01267,121,121,16.1882,73542.8,107,A,0
407457,1,1,7,2,2.75301,1.70373e-05,0.0849333,104.056,1636627048,1682959064,1071091,1101413,1.00278,1.00278,121,121,18.2485,90971.3,107,B,0
407457,1,1,7,2,2.7846,1.71157e-05,0.0852238,104.022,1636095304,1682959064,1070743,1101413,1.00223,1.00223,121,121,18.3265,91252.8,107,C,0
407457,1,1,7,3,2.65795,1.7334e-05,0.0822778,104.162,1638226864,1682959064,1072138,1101413,1.00707,1.00707,121,121,18.5844,88213.2,107,D,0
407457,1,1,9,1,1.84045,1.49732e-05,0.0680233,105.041,1651984976,1682959064,1081142,1101413,1.01267,1.01267,121,121,16.1882,73542.8,107,A,0
407457,1,1,9,2,8.37896,0.000126312,0.388357,98.0365,1541944528,1682959064,1009126,1101413,1.00278,1.00278,121,121,127.464,391901,107,B,0
407457,1,1,9,2,5.48632,6.83133e-05,0.18543,101.131,1590626608,1682959064,1040986,1101413,1.00223,1.00223,121,121,71.1131,193030,107,C,0
407457,1,1,9,3,9.5905,0.000100433,0.519047,96.7436,1521554896,1682959064,995782,1101413,1.00707,1.00707,121,121,100.009,516858,107,D,0
407457,1,1,11,1,1.84045,1.49732e-05,0.0680233,105.041,1651984976,1682959064,1081142,1101413,1.01267,1.01267,121,121,16.1882,73542.8,107,A,0
407457,1,1,11,2,16.4529,4.62551e-05,0.961884,89.4005,1406064072,1682959064,920199,1101413,1.00703,1.00703,121,121,42.5639,885124,107,B,0
407457,1,1,11,2,10.2989,3.59741e-05,0.623566,95.9817,1509633440,1682959064,987980,1101413,1.00223,1.00223,121,121,35.5416,616071,107,C,0
407457,1,1,11,3,17.1712,5.56309e-05,0.970622,88.6371,1393974536,1682959064,912287,1101413,1.01405,1.01405,121,121,50.7513,885486,107,D,0
407457,1,1,13,1,1.8893,1.70393e-05,0.0687399,104.989,1651162912,1682959064,1080604,1101413,1.01267,1.01267,121,121,18.4127,74280.6,107,A,0
407457,1,1,13,2,17.0992,4.95888e-05,0.967375,88.7068,1395186240,1682959064,913080,1101413,1.00427,1.00427,121,121,45.2785,883291,107,B,0
407457,1,1,13,2,10.5702,4.09383e-05,0.625545,95.6914,1505066248,1682959064,984991,1101413,1.00223,1.00223,121,121,40.3238,616156,107,C,0
407457,1,1,13,3,18.0243,6.1787e-05,0.98515,87.724,1379617448,1682959064,902891,1101413,1.01405,1.01405,121,121,55.7869,889483,107,D,0
407457,1,1,15,1,11.3409,0.000133457,0.675944,94.875,1492096584,1682959064,976503,1101413,1.01267,1.01267,121,121,130.321,660062,107,A,0
407457,1,1,15,2,19.8137,9.00498e-05,1.00441,85.8021,1349502096,1682959064,883182,1101413,1.00427,1.00427,121,121,79.5303,887079,107,B,0
407457,1,1,15,2,16.5587,0.000113239,0.959858,89.2853,1404282424,1682959064,919033,1101413,1.00223,1.00223,120.998,120.998,104.07,882141,107,C,0
407457,1,1,15,3,21.6179,0.000134724,1.02603,83.8785,1319139208,1682959064,863311,1101413,1.01405,1.01405,121,121,116.309,885784,107,D,0
407457,1,1,17,1,15.7572,0.000164063,0.950335,90.1519,1417771608,1682959064,927861,1101413,1.01484,1.01484,120.998,120.998,152.227,881779,107,A,0
407457,1,1,17,2,24.0769,0.000195719,1.10071,81.242,1277754856,1682959064,836227,1101413,1.00427,1.00427,120.998,120.998,163.665,920442,107,B,0
407457,1,1,17,2,20.6535,0.000183587,1.0129,84.9073,1335369624,1682959064,873933,1101413,1.00513,1.00513,120.996,120.996,160.443,885208,107,C,0
407457,1,1,17,3,27.7419,0.000206974,1.18802,77.324,1216074080,1682959064,795860,1101413,1.01222,1.01222,121,121,164.722,945494,107,D,0
407457,1,1,19,1,21.6018,5.76426e-05,1.02293,83.8967,1319409664,1682959064,863488,1101413,1.01545,1.01545,121,121,49.7736,883291,107,A,0
407457,1,1,19,2,31.514,0.000176877,1.24816,73.2855,1152591792,1682959064,754314,1101413,1.00616,1.00616,120.997,120.997,133.421,941506,107,B,0
407457,1,1,19,2,26.9564,0.000119742,1.18155,78.1621,1229294336,1682959064,804512,1101413,1.0087,1.0087,121,121,96.3339,950574,107,C,0
407457,1,1,19,3,35.9093,0.000164377,1.30026,68.5809,1078619784,1682959064,705903,1101413,1.00703,1.00703,121,121,116.034,917855,107,D,0
407457,1,1,21,1,22.2041,5.98842e-05,1.03807,83.2552,1309272912,1682959064,856854,1101413,1.02001,1.02001,121,121,51.312,889476,107,A,0
407457,1,1,21,2,37.9299,0.000138921,1.33246,66.4182,1044614144,1682959064,683648,1101413,1.00616,1.00616,121,121,94.9731,910935,107,B,0
407457,1,1,21,2,30.4177,0.000106082,1.23149,74.4552,1171040864,1682959064,766388,1101413,1.00394,1.00394,121,121,81.2999,943801,107,C,0
407458,1,1,1,1,1.82965,1.49621e-05,0.0683149,105.047,1652166808,1682959064,1081261,1101413,1.00575,1.00575,121,121,16.178,73866.3,107,A,0
407458,1,1,1,2,2.76218,1.70763e-05,0.084273,104.051,1636472720,1682959064,1070990,1101413,1.00794,1.00794,121,121,18.2885,90255.5,107,B,0
407458,1,1,1,2,2.78624,1.71098e-05,0.0851235,104.026,1636067800,1682959064,1070725,1101413,1.00806,1.00806,121,121,18.3199,91143.8,107,C,0
407458,1,1,1,3,2.63916,1.67709e-05,0.0820775,104.181,1638543160,1682959064,1072345,1101413,1.00598,1.00598,121,121,17.9841,88015.4,107,D,0
407458,1,1,3,1,1.82965,1.49621e-05,0.0683149,105.047,1652166808,1682959064,1081261,1101413,1.00575,1.00575,121,121,16.178,73866.3,107,A,0
407458,1,1,3,2,2.76218,1.70763e-05,0.084273,104.051,1636472720,1682959064,1070990,1101413,1.00794,1.00794,121,121,18.2885,90255.5,107,B,0
407458,1,1,3,2,2.78624,1.71098e-05,0.0851235,104.026,1636067800,1682959064,1070725,1101413,1.00806,1.00806,121,121,18.3199,91143.8,107,C,0
407458,1,1,3,3,2.63916,1.67709e-05,0.0820775,104.181,1638543160,1682959064,1072345,1101413,1.00598,1.00598,121,121,17.9841,88015.4,107,D,0
407458,1,1,5,1,1.82965,1.49621e-05,0.0683149,105.047,1652166808,1682959064,1081261,1101413,1.00575,1.00575,121,121,16.178,73866.3,107,A,0
407458,1,1,5,2,2.76218,1.70763e-05,0.084273,104.051,1636472720,1682959064,1070990,1101413,1.00794,1.00794,121,121,18.2885,90255.5,107,B,0
407458,1,1,5,2,2.78624,1.71098e-05,0.0851235,104.026,1636067800,1682959064,1070725,1101413,1.00806,1.00806,121,121,18.3199,91143.8,107,C,0
407458,1,1,5,3,2.63916,1.67709e-05,0.0820775,104.181,1638543160,1682959064,1072345,1101413,1.00598,1.00598,121,121,17.9841,88015.4,107,D,0
407458,1,1,7,1,1.82965,1.49621e-05,0.0683149,105.047,1652166808,1682959064,1081261,1101413,1.00575,1.00575,121,121,16.178,73866.3,107,A,0
407458,1,1,7,2,2.76218,1.70763e-05,0.084273,104.051,1636472720,1682959064,1070990,1101413,1.00794,1.00794,121,121,18.2885,90255.5,107,B,0
407458,1,1,7,2,2.78624,1.71098e-05,0.0851235,104.026,1636067800,1682959064,1070725,1101413,1.00806,1.00806,121,121,18.3199,91143.8,107,C,0
407458,1,1,7,3,2.65287,1.73822e-05,0.0823513,104.166,1638312432,1682959064,1072194,1101413,1.00598,1.00598,121,121,18.6371,88296.5,107,D,0
407458,1,1,9,1,1.82965,1.49621e-05,0.0683149,105.047,1652166808,1682959064,1081261,1101413,1.00575,1.00575,121,121,16.178,73866.3,107,A,0
407458,1,1,9,2,8.35599,0.000126182,0.393814,98.0692,1542331112,1682959064,1009379,1101413,1.00794,1.00794,120.995,120.995,127.366,397508,107,B,0
407458,1,1,9,2,5.47415,6.82856e-05,0.185916,101.149,1590831360,1682959064,1041120,1101413,1.00806,1.00806,121,121,71.0935,193561,107,C,0
407458,1,1,9,3,9.55936,9.99508e-05,0.520805,96.779,1522079000,1682959064,996125,1101413,1.00598,1.00598,120.996,120.996,99.5634,518786,107,D,0
407458,1,1,11,1,1.82965,1.49621e-05,0.0683149,105.047,1652166808,1682959064,1081261,1101413,1.00575,1.00575,121,121,16.178,73866.3,107,A,0
407458,1,1,11,2,16.5585,4.6698e-05,0.959399,89.2908,1404287008,1682959064,919036,1101413,1.01144,1.01144,121,121,42.9171,881722,107,B,0
