rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,dataRate
407456,2,1,0,2,0.00641173,0.000137558,0.000634667,50.0004,786383672,786434096,514649,514682,1.00827,1.00827,121,121,70.7937,326.631,ns3::ThompsonSamplingWifiManager,B,50
407456,1,1,0,1,7.21919,0.000206827,0.257352,55.6797,875591368,943720304,573031,617618,1.01993,1.01993,120.996,120.996,118.518,147471,ns3::ThompsonSamplingWifiManager,A,60
407456,2,1,0,1,8.84608,0.000214183,0.303494,54.6951,860238024,943720304,562983,617618,1.0058,1.0058,121,121,120.581,170862,ns3::ThompsonSamplingWifiManager,A,60
407456,1,1,0,3,0.00524596,0.000169939,0.000751892,50.0005,786392840,786434096,514655,514682,1.00712,1.00712,121,121,87.4596,386.965,ns3::ThompsonSamplingWifiManager,D,50
407456,2,1,0,3,0.0114634,0.000130289,0.000605452,50.0005,786343944,786434096,514623,514682,1.0143,1.0143,121,121,67.0497,311.58,ns3::ThompsonSamplingWifiManager,D,50
407456,1,1,0,1,20.3627,0.000206016,1.35961,55.7566,876809184,1101003456,573828,720552,1.02261,1.02261,121,121,118.218,780182,ns3::ThompsonSamplingWifiManager,A,70
407456,2,1,0,1,21.809,0.000213186,1.34589,54.7373,860885896,1101003456,563407,720552,1.0058,1.0058,120.998,120.998,120.11,758282,ns3::ThompsonSamplingWifiManager,A,70
407456,1,1,0,2,0.00663841,0.000138716,0.000928768,60.0002,943657656,943720304,617577,617618,1.008,1.008,121,121,85.6678,573.586,ns3::ThompsonSamplingWifiManager,B,60
407456,2,1,0,2,0.00680032,0.000119555,0.000796781,60.0003,943656128,943720304,617576,617618,1.00827,1.00827,121,121,73.8343,492.073,ns3::ThompsonSamplingWifiManager,B,60
407456,1,1,0,3,0.00582885,0.000137247,0.000887498,60.0004,943665296,943720304,617582,617618,1.00712,1.00712,121,121,84.7613,548.103,ns3::ThompsonSamplingWifiManager,D,60
407456,2,1,0,3,0.0116577,0.000118244,0.000789468,60.0006,943610288,943720304,617546,617618,1.01473,1.01473,121,121,73.0209,487.533,ns3::ThompsonSamplingWifiManager,D,60
407456,1,1,0,1,30.3707,0.00020743,1.43715,55.7175,876142976,1258295776,573392,823492,1.02979,1.02979,121,121,118.939,824051,ns3::ThompsonSamplingWifiManager,A,80
