rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario
407472,1,1,7,2,0.928535,1.64104e-05,0.0610571,106.013,1667332208,1682959064,1091186,1101413,1.00803,1.00803,121,121,17.9068,66624.7,ns3::ThompsonSamplingWifiManager,D
407472,2,1,7,2,5.0526,2.24699e-05,0.167022,101.602,1597925864,1682959064,1045763,1101413,1.0099,1.0099,121,121,23.4982,174666,ns3::ThompsonSamplingWifiManager,D
407472,1,1,7,2,5.37546,2.68451e-05,0.176576,101.255,1592492296,1682959064,1042207,1101413,1.00803,1.00803,121,121,27.9781,184029,ns3::ThompsonSamplingWifiManager,C
407472,2,1,7,2,7.70819,7.25822e-05,0.356462,98.7596,1553233392,1682959064,1016514,1101413,1.00928,1.00928,121,121,73.7807,362349,ns3::ThompsonSamplingWifiManager,C
407472,1,1,7,3,5.16291,2.71328e-05,0.172651,101.483,1596069344,1682959064,1044548,1101413,1.00891,1.00891,121,121,28.3415,180342,ns3::ThompsonSamplingWifiManager,E
407472,2,1,7,3,8.04957,7.23431e-05,0.364737,98.3953,1547488112,1682959064,1012754,1101413,1.01043,1.01043,121,121,73.2657,369389,ns3::ThompsonSamplingWifiManager,E
407472,1,1,11,1,57.0177,0.000295645,1.61388,45.9929,723375064,1682959064,473413,1101413,1.00493,1.00493,121,121,139.962,764031,ns3::ThompsonSamplingWifiManager,A
407472,2,1,11,1,55.5831,0.000277577,1.54628,47.5509,747518992,1682959064,489214,1101413,1.0352,1.0352,120.972,120.972,135.794,756463,ns3::ThompsonSamplingWifiManager,A
407472,1,1,9,2,13.4465,0.000190572,0.881737,92.6208,1456660736,1682959064,953312,1101413,1.00803,1.00803,120.997,120.997,181.674,840571,ns3::ThompsonSamplingWifiManager,C
407472,2,1,9,2,7.5858,7.23917e-05,0.306727,98.8911,1555293136,1682959064,1017862,1101413,1.00945,1.00945,120.999,120.999,73.6847,312206,ns3::ThompsonSamplingWifiManager,C
407472,1,1,9,2,9.5225,0.000181813,0.511778,96.8197,1522699368,1682959064,996531,1101413,1.00803,1.00803,120.997,120.997,181.182,510003,ns3::ThompsonSamplingWifiManager,D
407472,2,1,9,2,5.12333,2.25674e-05,0.172875,101.526,1596735552,1682959064,1044984,1101413,1.0099,1.0099,121,121,23.5826,180651,ns3::ThompsonSamplingWifiManager,D
407472,1,1,9,3,14.7088,0.000153987,0.9289,91.2702,1435415424,1682959064,939408,1101413,1.00891,1.00891,120.997,120.997,144.657,872616,ns3::ThompsonSamplingWifiManager,E
407472,2,1,9,3,7.81705,7.19528e-05,0.357051,98.6441,1551401320,1682959064,1015315,1101413,1.01043,1.01043,121,121,73.0547,362519,ns3::ThompsonSamplingWifiManager,E
407472,1,1,13,1,54.7806,0.000271221,1.523,48.3866,761023456,1682959064,498052,1101413,1.00493,1.00493,121,121,135.082,758532,ns3::ThompsonSamplingWifiManager,A
407472,2,1,13,1,56.6682,0.00029421,1.62006,46.3789,729256336,1682959064,477262,1101413,1.0352,1.0352,120.999,120.999,140.415,773194,ns3::ThompsonSamplingWifiManager,A
407472,1,1,11,2,22.8475,6.83636e-05,1.05562,82.5585,1298445504,1682959064,849768,1101413,1.00803,1.00803,121,121,58.0931,897033,ns3::ThompsonSamplingWifiManager,C
407472,2,1,11,2,6.92193,6.38756e-05,0.28272,99.6011,1566465872,1682959064,1025174,1101413,1.00945,1.00945,121,121,65.4836,289838,ns3::ThompsonSamplingWifiManager,C
407472,1,1,11,2,19.8984,5.67408e-05,1.00305,85.7142,1348076472,1682959064,882249,1101413,1.00815,1.00815,121,121,50.0595,884943,ns3::ThompsonSamplingWifiManager,D
