rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn
407456,1,1,15,2,90.1323,0.00171927,3.18622,10.5631,166069152,1682959064,108684,1101413,1.04126,1.04126,120.988,120.988,186.856,346291,ns3::ThompsonSamplingWifiManager,C,0
407456,2,1,15,2,88.6797,0.00150213,3.03889,12.1282,190515624,1682959064,124683,1101413,1.01639,1.01639,120.863,120.863,187.289,378898,ns3::ThompsonSamplingWifiManager,C,0
407456,3,1,15,2,88.3781,0.00146191,3.17484,12.5517,195591640,1682959064,128005,1101413,2.10276,2.10276,120.991,120.991,187.131,406396,ns3::ThompsonSamplingWifiManager,C,0
407456,4,1,15,2,89.2186,0.00158387,3.18184,11.5602,181446944,1682959064,118748,1101413,1.24937,1.24937,120.999,120.999,188.08,377837,ns3::ThompsonSamplingWifiManager,C,0
407456,5,1,15,2,88.2771,0.00145572,3.13516,12.5478,197292304,1682959064,129118,1101413,1.0144,1.0144,120.973,120.973,187.958,404806,ns3::ThompsonSamplingWifiManager,C,0
407456,6,1,15,2,88.6226,0.00149979,3.12457,12.1852,191476736,1682959064,125312,1101413,1.11054,1.11054,120.998,120.998,187.94,391547,ns3::ThompsonSamplingWifiManager,C,0
407456,1,1,15,2,88.7083,0.00149593,3.14664,12.0975,190034304,1682959064,124368,1101413,1.14373,1.14373,120.99,120.99,186.045,391341,ns3::ThompsonSamplingWifiManager,D,0
407456,2,1,15,2,88.8537,0.00155404,3.18745,11.9286,187587976,1682959064,122767,1101413,1.01614,1.01614,120.996,120.996,190.783,391313,ns3::ThompsonSamplingWifiManager,D,0
407456,3,1,15,2,88.6064,0.00149541,3.08583,12.2005,191750248,1682959064,125491,1101413,1.08811,1.08811,120.997,120.997,187.659,387244,ns3::ThompsonSamplingWifiManager,D,0
407456,4,1,15,2,88.3226,0.00146136,3.17096,12.4985,196525248,1682959064,128616,1101413,1.02102,1.02102,120.985,120.985,187.953,407836,ns3::ThompsonSamplingWifiManager,D,0
