rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn
407460,1,1,27,2,83.5552,0.00108223,2.74561,17.6019,276759000,1682959064,181125,1101413,1.02209,1.02209,120.981,120.981,196.017,497298,ns3::ThompsonSamplingWifiManager,B,0
407460,2,1,27,2,84.0824,0.00109085,2.81013,17.0584,267885904,1682959064,175318,1101413,1.04676,1.04676,120.859,120.859,191.245,492667,ns3::ThompsonSamplingWifiManager,B,0
407460,3,1,27,2,84.4406,0.00110106,2.89808,16.9987,261857944,1682959064,171373,1101413,3.45197,3.45197,120.98,120.98,188.692,496652,ns3::ThompsonSamplingWifiManager,B,0
407460,4,1,27,2,84.6887,0.00113471,2.83579,16.3855,257683448,1682959064,168641,1101413,1.01436,1.01436,120.996,120.996,191.358,478231,ns3::ThompsonSamplingWifiManager,B,0
407461,1,1,27,2,83.6235,0.00106815,2.64497,17.5356,275609944,1682959064,180373,1101413,1.01029,1.01029,120.922,120.922,192.664,477081,ns3::ThompsonSamplingWifiManager,B,0
407461,2,1,27,2,84.8101,0.00113576,2.82862,16.4084,255640512,1682959064,167304,1101413,2.01927,2.01927,120.884,120.884,190.015,473240,ns3::ThompsonSamplingWifiManager,B,0
407461,3,1,27,2,84.4335,0.00111416,2.82368,16.8004,261978656,1682959064,171452,1101413,2.03048,2.03048,121,121,191.025,484125,ns3::ThompsonSamplingWifiManager,B,0
407461,4,1,27,2,84.5223,0.00110426,2.83378,16.7184,260482744,1682959064,170473,1101413,2.12285,2.12285,120.993,120.993,188.246,483083,ns3::ThompsonSamplingWifiManager,B,0
407460,1,1,27,2,83.5338,0.00105985,2.79243,17.7821,277119608,1682959064,181361,1101413,2.0811,2.0811,120.979,120.979,192.214,506438,ns3::ThompsonSamplingWifiManager,C,0
407460,2,1,27,2,84.9885,0.00113928,2.86769,16.0671,252637992,1682959064,165339,1101413,1.03607,1.03607,121,121,188.366,474141,ns3::ThompsonSamplingWifiManager,C,0
407460,3,1,27,2,84.158,0.0010876,2.74795,17.0253,266614608,1682959064,174486,1101413,1.10097,1.10097,120.576,120.576,189.77,479479,ns3::ThompsonSamplingWifiManager,C,0
